label,message
safe,"Hey bro let's meet tomorrow"
safe,"Good morning have a nice day"
safe,"Can you call me later"
safe,"Meeting at 7 PM tonight"
safe,"Happy birthday bro"
safe,"Where are you now"
safe,"Let's play football tomorrow"
safe,"I will come to campus soon"
safe,"See you tomorrow"
safe,"Thank you very much"
safe,"Did you finish the assignment"
safe,"Lunch together later?"
safe,"I am on my way"
safe,"Please send me the file"
safe,"Let's watch movie tonight"
safe,"Besok masuk jam berapa?"
safe,"Sudah makan belum?"
safe,"Saya otw kampus"
safe,"Nanti kita kerjain tugas ya"
safe,"Jangan lupa kelas besok"
safe,"Aku sudah kirim file"
safe,"Ketemu di kampus jam 8"
safe,"Nanti malam nongkrong yuk"
safe,"Tolong cek email tugas"
safe,"Aku telat sedikit hari ini"
safe,"Halo nanti jadi ke kampus jam 8?"
safe,"Jangan lupa kumpul tugas sebelum jam 5 sore."
safe,"Besok ada kelas pengganti di lab komputer."
safe,"Mau makan dimana nanti habis kuliah?"
safe,"Tolong kirim file presentasi kelompok ya."
safe,"Sudah sampai rumah belum?"
safe,"Besok jangan lupa meeting jam 10 pagi."
safe,"Aku lagi di jalan menuju kampus."
safe,"Nanti malam jadi main game?"
safe,"Deadline tugas diperpanjang sampai minggu depan."
safe,"Terima kasih sudah membantu tadi."
safe,"Pengumuman: libur semester dimulai minggu depan."
safe,"Jangan lupa isi absensi kelas."
safe,"Aku izin telat karena macet."
safe,"Nanti kita bahas project Flask lagi ya."
safe,"Besok ada ujian, jangan lupa belajar."
safe,"Aku sudah sampai kampus, kamu dimana?"
safe,"Nanti malam jadi nonton bareng?"
safe,"Tolong kirimkan file tugas kelompok ya."
safe,"Sudah makan siang belum?"
safe,"Besok masuk jam 9 pagi ya."
safe,"Aku lagi di jalan, sebentar lagi sampai."
safe,"Nanti malam jadi main game online?"
safe,"Deadline tugas diperpanjang sampai minggu depan."
safe,"Terima kasih sudah membantu tadi."
safe,"Pengumuman: libur semester dimulai minggu depan."
safe,"Jangan lupa isi absensi kelas."
safe,"Aku izin telat karena macet."
safe,"Nanti kita bahas project Flask lagi ya."


scam,"Congratulations you won free money"
scam,"Claim your reward now"
scam,"Urgent verify your account"
scam,"You have won a free iPhone"
scam,"Click this link to claim prize"
scam,"Limited offer act now"
scam,"Your account will be suspended"
scam,"Win cash prize now"
scam,"Free reward available"
scam,"You are selected for bonus"
scam,"Selamat anda memenangkan hadiah uang tunai"
scam,"Klik link berikut untuk klaim hadiah"
scam,"Akun bank anda diblokir segera verifikasi"
scam,"Anda mendapatkan saldo dana gratis"
scam,"Dapatkan voucher gratis sekarang"
scam,"Verifikasi akun anda sekarang"
scam,"Hadiah spesial menunggu anda"
scam,"Segera konfirmasi password akun"
scam,"Anda terpilih mendapatkan bonus"
scam,"Transfer hadiah sekarang klik link"
scam,"Akun anda terdeteksi bermasalah"
scam,"Anda memenangkan iPhone gratis"
scam,"Klaim cashback anda sekarang"
scam,"Promo terbatas klik sekarang"
scam,"Selamat anda mendapatkan hadiah Rp50 juta"
scam,"SELAMAT! Anda memenangkan hadiah uang tunai Rp50 juta. Hubungi admin sekarang untuk klaim hadiah."
scam,"Nomor Anda resmi terpilih sebagai pemenang undian nasional. Klik link berikut untuk pencairan dana."
scam,"Selamat! Akun Anda mendapatkan bonus saldo DANA Rp500.000. Klaim sekarang juga."
scam,"Peringatan! Rekening bank Anda akan diblokir. Segera verifikasi akun dan kirim kode OTP."
scam,"Akun m-banking Anda terdeteksi aktivitas mencurigakan. Mohon konfirmasi password dan OTP."
scam,"Klik link berikut untuk aktivasi ulang akun bank Anda sebelum dinonaktifkan permanen."
scam,"Anda mendapatkan bantuan sosial sebesar Rp2.500.000. Segera daftar melalui link berikut."
scam,"Paket Anda tertahan di gudang. Konfirmasi alamat sekarang melalui tautan berikut."
scam,"Tagihan Anda belum dibayar. Klik link untuk melakukan pembayaran agar akun tidak diblokir."
scam,"Hadiah spesial untuk pelanggan setia! Klaim voucher gratis Rp1 juta sekarang."
scam,"Selamat! Anda mendapatkan iPhone gratis dari event nasional. Segera isi data diri."
scam,"Akun WhatsApp Anda akan dinonaktifkan. Verifikasi nomor sekarang juga."
scam,"Mohon segera update data rekening Anda untuk menghindari pembekuan akun."
scam,"Anda memenangkan undian motor terbaru. Hubungi customer service sekarang."
scam,"Akun BPJS Anda bermasalah. Segera login ulang melalui tautan berikut."
scam,"Verifikasi akun email Anda sekarang agar tidak diblokir permanen."
scam,"Peluang kerja online dengan penghasilan Rp500 ribu per hari. Daftar sekarang tanpa modal."
scam,"Klik link berikut untuk menerima transfer dana masuk sebesar Rp3 juta."
scam,"Akun Shopee Anda memenangkan cashback besar. Klaim sekarang sebelum kadaluarsa."
scam,"Pemberitahuan resmi: akun Anda akan ditangguhkan jika tidak melakukan verifikasi."
scam,"Dana bantuan pendidikan Rp1 juta telah disetujui. Segera aktivasi akun."
scam,"Konfirmasi pembayaran sekarang untuk menghindari pemutusan layanan."
